,target_30d
2007-12-16,2686.912
2007-12-17,2135.852
2007-12-18,1572.282
2007-12-19,2186.988
2007-12-20,1980.306
2007-12-21,1740.368
2007-12-22,1858.998
2007-12-23,2325.018
2007-12-24,1882.308
2007-12-25,1645.022
2007-12-26,2239.856
2007-12-27,2834.988
2007-12-28,2381.766
2007-12-29,2308.196
2007-12-30,2676.024
2007-12-31,1640.646
2008-01-01,1953.922
2008-01-02,1534.652
2008-01-03,2936.034
2008-01-04,2084.568
2008-01-05,1628.138
2008-01-06,2472.456
2008-01-07,1669.54
2008-01-08,1518.31
2008-01-09,1950.564
2008-01-10,2102.276
2008-01-11,2184.714
2008-01-12,1692.016
2008-01-13,1987.798
2008-01-14,1900.498
2008-01-15,1604.622
2008-01-16,2005.208
2008-01-17,2346.948
2008-01-18,1933.368
2008-01-19,1514.404
2008-01-20,2126.916
2008-01-21,2253.79
2008-01-22,1633.85
2008-01-23,1732.564
2008-01-24,1833.97
2008-01-25,1263.008
2008-01-26,504.488
2008-01-27,507.12
2008-01-28,566.72
2008-01-29,509.184
2008-01-30,1333.348
2008-01-31,1141.876
2008-02-01,1162.226
2008-02-02,1040.55
2008-02-03,1668.99
2008-02-04,2037.208
2008-02-05,2503.208
2008-02-06,1862.956
2008-02-07,2248.66
2008-02-08,1560.458
2008-02-09,1618.686
2008-02-10,2200.042
2008-02-11,1774.232
2008-02-12,1675.514
2008-02-13,2210.22
2008-02-14,1576.3
2008-02-15,1801.96
2008-02-16,1706.918
2008-02-17,1917.566
2008-02-18,1308.448
2008-02-19,1253.274
2008-02-20,2066.442
2008-02-21,2053.516
2008-02-22,2325.99
2008-02-23,1974.668
2008-02-24,2015.856
2008-02-25,1633.472
2008-02-26,1370.822
2008-02-27,1885.424
2008-02-28,2471.15
2008-02-29,2146.392
2008-03-01,1377.57
2008-03-02,2129.052
2008-03-03,1691.672
2008-03-04,1128.756
2008-03-05,1631.918
2008-03-06,1970.762
2008-03-07,1696.318
2008-03-08,1538.838
2008-03-09,2657.516
2008-03-10,1218.852
2008-03-11,1477.746
2008-03-12,1877.664
2008-03-13,2800.014
2008-03-14,2232.986
2008-03-15,1589.582
2008-03-16,1670.406
2008-03-17,1489.064
2008-03-18,1395.862
2008-03-19,1862.39
2008-03-20,2253.71
2008-03-21,1791.418
2008-03-22,1164.156
2008-03-23,1627.676
2008-03-24,1357.328
2008-03-25,1043.772
2008-03-26,1267.734
2008-03-27,903.166
2008-03-28,1008.24
2008-03-29,659.052
2008-03-30,1972.616
2008-03-31,1101.726
2008-04-01,576.014
2008-04-02,1497.768
2008-04-03,1289.6
2008-04-04,1470.97
2008-04-05,1366.932
2008-04-06,1789.98
2008-04-07,1176.264
2008-04-08,2116.698
2008-04-09,1747.272
2008-04-10,1909.128
2008-04-11,1610.92
2008-04-12,1524.204
2008-04-13,1476.894
2008-04-14,1584.262
2008-04-15,1162.768
2008-04-16,1648.03
2008-04-17,1657.454
2008-04-18,1803.958
2008-04-19,1030.262
2008-04-20,1581.334
2008-04-21,1324.112
2008-04-22,976.868
2008-04-23,1484.916
2008-04-24,1580.176
2008-04-25,2048.504
2008-04-26,1289.71
2008-04-27,1708.7
2008-04-28,1114.372
2008-04-29,1135.076
2008-04-30,1397.244
2008-05-01,1641.47
2008-05-02,1848.876
2008-05-03,1074.012
2008-05-04,1597.816
2008-05-05,1588.912
2008-05-06,1120.078
2008-05-07,1217.714
2008-05-08,1882.484
2008-05-09,1542.322
2008-05-10,1325.698
2008-05-11,1067.09
2008-05-12,1123.206
2008-05-13,1259.332
2008-05-14,1874.28
2008-05-15,1384.92
2008-05-16,2289.102
2008-05-17,1303.044
2008-05-18,1145.084
2008-05-19,1893.608
2008-05-20,1588.082
2008-05-21,1676.104
2008-05-22,1734.254
2008-05-23,1566.416
2008-05-24,1251.796
2008-05-25,1754.452
2008-05-26,1261.77
2008-05-27,1056.02
2008-05-28,1755.152
2008-05-29,1208.8
2008-05-30,749.352
2008-05-31,804.196
2008-06-01,1215.24
2008-06-02,1147.202
2008-06-03,1098.36
2008-06-04,942.02
2008-06-05,1469.088
2008-06-06,1805.064
2008-06-07,983.39
2008-06-08,1126.214
2008-06-09,919.318
2008-06-10,1251.276
2008-06-11,1254.216
2008-06-12,1328.852
2008-06-13,1253.754
2008-06-14,1137.926
2008-06-15,1155.86
2008-06-16,1077.062
2008-06-17,1319.122
2008-06-18,1261.584
2008-06-19,1344.014
2008-06-20,941.534
2008-06-21,1156.478
2008-06-22,740.242
2008-06-23,942.63
2008-06-24,1093.45
2008-06-25,865.534
2008-06-26,815.684
2008-06-27,1147.396
2008-06-28,825.804
2008-06-29,1166.558
2008-06-30,1299.908
2008-07-01,1392.638
2008-07-02,739.576
2008-07-03,505.776
2008-07-04,504.782
2008-07-05,1125.92
2008-07-06,827.118
2008-07-07,326.112
2008-07-08,334.884
2008-07-09,302.2
2008-07-10,358.924
2008-07-11,352.032
2008-07-12,371.916
2008-07-13,288.984
2008-07-14,282.584
2008-07-15,270.258
2008-07-16,273.654
2008-07-17,274.814
2008-07-18,274.796
2008-07-19,273.758
2008-07-20,274.692
2008-07-21,268.472
2008-07-22,261.298
2008-07-23,267.124
2008-07-24,254.642
2008-07-25,254.716
2008-07-26,250.298
2008-07-27,257.564
2008-07-28,258.114
2008-07-29,268.246
2008-07-30,267.588
2008-07-31,270.424
2008-08-01,1500.614
2008-08-02,1247.51
2008-08-03,1384.154
2008-08-04,1388.486
2008-08-05,1225.22
2008-08-06,873.96
2008-08-07,1868.574
2008-08-08,1372.656
2008-08-09,1309.324
2008-08-10,1159.654
2008-08-11,1300.764
2008-08-12,1028.714
2008-08-13,1392.762
2008-08-14,1631.436
2008-08-15,1576.326
2008-08-16,1697.708
2008-08-17,1221.862
2008-08-18,1519.21
2008-08-19,1505.29
2008-08-20,1518.846
2008-08-21,1304.6
2008-08-22,1533.07
2008-08-23,1358.564
2008-08-24,1232.788
2008-08-25,1718.35
2008-08-26,1131.22
2008-08-27,1431.45
2008-08-28,2127.446
2008-08-29,1731.104
2008-08-30,1501.738
2008-08-31,1375.006
2008-09-01,1872.364
2008-09-02,1345.342
2008-09-03,1612.58
2008-09-04,2100.496
2008-09-05,1549.95
2008-09-06,1423.782
2008-09-07,1726.568
2008-09-08,1860.576
2008-09-09,1983.682
2008-09-10,1518.338
2008-09-11,1669.386
2008-09-12,1907.94
2008-09-13,1461.976
2008-09-14,1609.056
2008-09-15,2156.896
2008-09-16,1583.68
2008-09-17,1866.886
2008-09-18,2239.19
2008-09-19,1971.934
2008-09-20,1667.554
2008-09-21,2063.716
2008-09-22,1646.01
2008-09-23,1830.494
2008-09-24,2133.226
2008-09-25,1523.156
2008-09-26,523.492
2008-09-27,523.892
2008-09-28,1327.29
2008-09-29,1612.576
2008-09-30,1098.6
2008-10-01,1285.832
2008-10-02,830.498
2008-10-03,910.614
2008-10-04,847.6
2008-10-05,1562.316
2008-10-06,3134.93
2008-10-07,1588.438
2008-10-08,1619.184
2008-10-09,1733.138
2008-10-10,2578.538
2008-10-11,2091.88
2008-10-12,2455.95
2008-10-13,2186.494
2008-10-14,1238.46
2008-10-15,1621.738
2008-10-16,3031.628
2008-10-17,2365.432
2008-10-18,1523.636
2008-10-19,1749.05
2008-10-20,1840.238
2008-10-21,1692.336
2008-10-22,1673.93
2008-10-23,1711.368
2008-10-24,3405.324
2008-10-25,3212.998
2008-10-26,2702.85
2008-10-27,1515.954
2008-10-28,2362.218
2008-10-29,1885.964
2008-10-30,2434.668
2008-10-31,2401.388
2008-11-01,1616.538
2008-11-02,1793.444
2008-11-03,1755.164
2008-11-04,1738.638
2008-11-05,2058.618
2008-11-06,2523.836
2008-11-07,2466.74
2008-11-08,1868.636
2008-11-09,2003.144
2008-11-10,2111.02
2008-11-11,1432.522
2008-11-12,1815.534
2008-11-13,1825.574
2008-11-14,2002.12
2008-11-15,1795.45
2008-11-16,1797.09
2008-11-17,2098.786
2008-11-18,1736.94
2008-11-19,1882.112
2008-11-20,2242.502
2008-11-21,2643.61
2008-11-22,2015.808
